property_id,url,source_timestamp,title,address,neighborhood,price,sqm,price_per_sqm,rooms,floor,energy_class,property_type,listing_type,description,contact_info,html_source_hash,extraction_confidence,validation_flags,images_count,heating_type,year_built
dd13ee26b1cc,https://www.spitogatos.gr/en/property/1117843683,2025-08-02T13:04:06.019262,"Apartment, 112m²",Homes for sale,Homes for sale,495000.0,112.0,4419.642857142857,,,,apartment,sale,"Make this property yours with a mortgage starting from
€1.907/month",,97d48eebbb474a85,0.95,"['AUTHENTIC_VERIFIED', 'AUTHENTIC_VERIFIED']",,,
418282290548,https://www.spitogatos.gr/en/property/1118014212,2025-08-02T13:04:11.687813,"Apartment, 102m²",Homes for sale,Homes for sale,140000.0,100.0,1400.0,,,,apartment,sale,Compare & save up to €30/month on your energy bill,,78f9dc458cbe3971,0.95,"['AUTHENTIC_VERIFIED', 'AUTHENTIC_VERIFIED']",,,
d1ab4346890f,https://www.spitogatos.gr/en/property/1116810383,2025-08-02T13:04:18.584287,"Apartment, 84m²",Homes for sale,Homes for sale,244000.0,84.0,2904.7619047619046,,,,apartment,sale,Compare & save up to €30/month on your energy bill,,88b25812f5f362fb,0.95,"['AUTHENTIC_VERIFIED', 'AUTHENTIC_VERIFIED']",,,
fdfd5ad54696,https://www.spitogatos.gr/en/property/1116931117,2025-08-02T13:04:23.780122,"Apartment, 70m²",Homes for sale,Homes for sale,255000.0,30.0,8500.0,,,,apartment,sale,"Make this property yours with a mortgage starting from
€982/month",,2053ff091c367d2c,0.95,"['AUTHENTIC_VERIFIED', 'AUTHENTIC_VERIFIED']",,,
99bf503098dc,https://www.spitogatos.gr/en/property/1117856845,2025-08-02T13:04:29.921838,"Loft, 158m²",Homes for sale,Homes for sale,650000.0,158.0,4113.9240506329115,,,,apartment,sale,Compare & save up to €30/month on your energy bill,,7f8f9fc61833f777,0.95,"['AUTHENTIC_VERIFIED', 'AUTHENTIC_VERIFIED']",,,
b4d9b40193da,https://www.spitogatos.gr/en/property/1117353069,2025-08-02T13:04:35.697135,"Maisonette, 107m²",Homes for sale,Homes for sale,460000.0,107.0,4299.065420560748,,,,maisonette,sale,Compare & save up to €30/month on your energy bill,,7220c67084bb6701,0.95,"['AUTHENTIC_VERIFIED', 'AUTHENTIC_VERIFIED']",,,
75b64621c805,https://www.spitogatos.gr/en/property/1115970507,2025-08-02T13:04:46.377494,"Apartment, 102m²",Homes for sale,Homes for sale,175000.0,102.0,1715.686274509804,,,,apartment,sale,"Make this property yours with a mortgage starting from
€674/month",,c9470c590f8d4ecd,0.95,"['AUTHENTIC_VERIFIED', 'AUTHENTIC_VERIFIED']",,,
3fad06a4ebd4,https://www.spitogatos.gr/en/property/1117816063,2025-08-02T13:04:52.850864,"Apartment, 75m²",Homes for sale,Homes for sale,369000.0,13.0,28384.615384615383,,,,apartment,sale,"Make this property yours with a mortgage starting from
€1.422/month",,0cbf6757a17c65b6,0.95,"['AUTHENTIC_VERIFIED', 'AUTHENTIC_VERIFIED']",,,
7bb2c3a5e027,https://www.spitogatos.gr/en/property/1114275120,2025-08-02T13:04:58.948729,"Apartment, 68m²",Homes for sale,Homes for sale,210000.0,68.0,3088.235294117647,,,,apartment,sale,"Make this property yours with a mortgage starting from
€809/month",,ddc664ffca212e53,0.95,"['AUTHENTIC_VERIFIED', 'AUTHENTIC_VERIFIED']",,,
